bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,12,7,12,12,0.594293864234805,0.003231490917773504
bv,12,9,5,11,0.8498343761501658,0.058956192366915
ghz,12,13,11,12,0.8715334017705141,0.001295133532136432
hamsim_1,12,15,11,12,0.9306051936684734,0.0011344640051224257
qaoa_pl1,12,21,22,12,0.9585420959191873,0.0070754964127489
qsvm,12,27,22,12,0.8428927967647607,0.001137874194826539
twolocal_1,12,15,12,12,0.9535031860917239,0.0078985566006194
vqe_1,12,14,11,12,0.8477007970570201,0.077450844639433
wstate,12,25,22,12,0.86377704082545,0.003813603896743
